english,icelandic,alternatives,category,notes,definition_en,definition_is
base ionization,,,other,,"reaction involving the transfer of a proton from water to a base, yielding hydroxide ions and the conjugate acid of the base",
battery,,,other,,single or series of galvanic cells designed for use as a source of electrical power,
becquerel (Bq),,,other,,SI unit for rate of radioactive decay; 1 Bq = 1 disintegration/s,
beta (β) decay,,,other,,"breakdown of a neutron into a proton, which remains in the nucleus, and an electron, which is emitted as a beta particle",
beta particle,,,other,,(β or −10e or −10β) high-energy electron,
bicarbonate anion,,,other,,"salt of the hydrogen carbonate ion, HCO3−",
bidentate ligand,,,other,,ligand that coordinates to one central metal through coordinate bonds from two different atoms,
binding energy per nucleon,,,other,,total binding energy for the nucleus divided by the number of nucleons in the nucleus,
bismuth,,,other,,heaviest member of group 15; a less reactive metal than other representative metals,
blackbody,,,other,,idealized perfect absorber of all incident electromagnetic radiation; such bodies emit electromagnetic radiation in characteristic continuous spectra called blackbody radiation,
body-centered cubic (BCC) solid,,,other,,crystalline structure that has a cubic unit cell with lattice points at the corners and in the center of the cell,
body-centered cubic unit cell,,,other,,simplest repeating unit of a body-centered cubic crystal; it is a cube containing lattice points at each corner and in the center of the cube,
boiling point elevation constant,,,other,,the proportionality constant in the equation relating boiling point elevation to solute molality; also known as the ebullioscopic constant,
bond angle,,,other,,angle between any two covalent bonds that share a common atom,
bond dipole moment,,,other,,separation of charge in a bond that depends on the difference in electronegativity and the bond distance represented by partial charges or a vector,
bond distance,,,other,,"(also, bond length) distance between the nuclei of two bonded atoms",
bond length,,,other,,distance between the nuclei of two bonded atoms at which the lowest potential energy is achieved,
bonding orbital,,,other,,molecular orbital located between two nuclei; electrons in a bonding orbital stabilize a molecule,
borate,,,other,,"compound containing boron-oxygen bonds, typically with clusters or chains as a part of the chemical structure",
buffer capacity,,,other,,amount of an acid or base that can be added to a volume of a buffer solution before its pH changes significantly (usually by one pH unit),
capillary action,,,other,,flow of liquid within a porous material due to the attraction of the liquid molecules to the surface of the material and to other liquid molecules,
carbonate,,,other,,salt of the anion CO32−; often formed by the reaction of carbon dioxide with bases,
carbonyl group,,,other,,carbon atom double bonded to an oxygen atom,
carboxylic acid,,,other,,organic compound containing a carbonyl group with an attached hydroxyl group,
cell notation (schematic),,,other,,symbolic representation of the components and reactions in an electrochemical cell,
central metal,,,other,,ion or atom to which one or more ligands is attached through coordinate covalent bonds,
chain reaction,,,other,,repeated fission caused when the neutrons released in fission bombard other atoms,
chelate,,,other,,complex formed from a polydentate ligand attached to a central metal,
chelating ligand,,,other,,ligand that attaches to a central metal ion by bonds from two or more donor atoms,
chemical reduction,,,other,,method of preparing a representative metal using a reducing agent,
chemotherapy,,,other,,"similar to internal radiation therapy, but chemical rather than radioactive substances are introduced into the body to kill cancer cells",
chlor-alkali process,,,other,,electrolysis process for the synthesis of chlorine and sodium hydroxide,
cohesive force,,,other,,force of attraction between identical molecules,
colligative property,,,other,,property of a solution that depends only on the concentration of a solute species,
color-change interval,,,other,,range in pH over which the color change of an indicator is observed,
concentration cell,,,other,,galvanic cell comprising half-cells of identical composition but for the concentration of one redox reactant or product,
containment system,,,other,,"(also, shield) a three-part structure of materials that protects the exterior of a nuclear fission reactor and operating personnel from the high temperatures, pressures, and radiation levels inside the reactor",
continuous spectrum,,,other,,"electromagnetic radiation given off in an unbroken series of wavelengths (e.g., white light from the sun)",
control rod,,,other,,material inserted into the fuel assembly that absorbs neutrons and can be raised or lowered to adjust the rate of a fission reaction,
coordinate covalent bond,,,other,,"(also, dative bond) covalent bond in which both electrons originated from the same atom",
coordination sphere,,,other,,central metal atom or ion plus the attached ligands of a complex,
core electron,,,other,,electron in an atom that occupies the orbitals of the inner shells,
coupled equilibria,,,other,,system characterized the simultaneous establishment of two or more equilibrium reactions sharing one or more reactant or product,
covalent network solid,,,other,,solid whose particles are held together by covalent bonds,
covalent radius,,,other,,one-half the distance between the nuclei of two identical atoms when they are joined by a covalent bond,
crenation,,,other,,process whereby biological cells become shriveled due to loss of water by osmosis,
critical mass,,,other,,amount of fissionable material that will support a self-sustaining (nuclear fission) chain reaction,
crystal field theory,,,other,,model that explains the energies of the orbitals in transition metals in terms of electrostatic interactions with the ligands but does not include metal ligand bonding,
cubic closest packing (CCP),,,other,,crystalline structure in which planes of closely packed atoms or ions are stacked as a series of three alternating layers of different relative orientations (ABC),
curie (Ci),,,other,,larger unit for rate of radioactive decay frequently used in medicine; 1 Ci = 3.7 × 1010 disintegrations/s,
daughter nuclide,,,other,,nuclide produced by the radioactive decay of another nuclide; may be stable or may decay further,
degenerate orbitals,,,other,,orbitals that have the same energy,
diamagnetism,,,other,,phenomenon in which a material is not magnetic itself but is repelled by a magnetic field; it occurs when there are only paired electrons present,
diffraction,,,other,,redirection of electromagnetic radiation that occurs when it encounters a physical barrier of appropriate dimensions,
dipole moment,,,other,,property of a molecule that describes the separation of charge determined by the sum of the individual bond moments based on the molecular structure,
dipole-dipole attraction,,,other,,intermolecular attraction between two permanent dipoles,
diprotic acid,,,other,,acid containing two ionizable hydrogen atoms per molecule,
diprotic base,,,other,,base capable of accepting two protons,
dispersed phase,,,other,,substance present as relatively large solid or liquid particles in a colloid,
dispersion force,,,other,,"(also, London dispersion force) attraction between two rapidly fluctuating, temporary dipoles; significant only when particles are very close together",
dispersion medium,,,other,,"solid, liquid, or gas in which colloidal particles are dispersed",
disproportionation reaction,,,other,,chemical reaction where a single reactant is simultaneously reduced and oxidized; it is both the reducing agent and the oxidizing agent,
dissociation constant,,,other,,(Kd) equilibrium constant for the decomposition of a complex ion into its components,
donor atom,,,other,,atom in a ligand with a lone pair of electrons that forms a coordinate covalent bond to a central metal,
dry cell,,,other,,"primary battery, also called a zinc-carbon battery, based on the spontaneous oxidation of zinc by manganese(IV)",
electromagnetic spectrum,,,other,,"range of energies that electromagnetic radiation can comprise, including radio, microwaves, infrared, visible, ultraviolet, X-rays, and gamma rays",
electron capture,,,other,,combination of a core electron with a proton to yield a neutron within the nucleus,
electron volt (eV),,,other,,"measurement unit of nuclear binding energies, with 1 eV equaling the amount energy due to the moving an electron across an electric potential difference of 1 volt",
electron-pair geometry,,,other,,"arrangement around a central atom of all regions of electron density (bonds, lone pairs, or unpaired electrons)",
emulsifying agent,,,other,,amphiphilic substance used to stabilize the particles of some emulsions,
emulsion,,,other,,colloid formed from immiscible liquids,
equatorial position,,,other,,one of the three positions in a trigonal bipyramidal geometry with 120° angles between them; the axial positions are located at a 90° angle,
ester,,,other,,organic compound containing a carbonyl group with an attached oxygen atom that is bonded to a carbon substituent,
ether,,,other,,organic compound with an oxygen atom that is bonded to two carbon atoms,
external beam radiation therapy,,,other,,radiation delivered by a machine outside the body,
face-centered cubic (FCC) solid,,,other,,crystalline structure consisting of a cubic unit cell with lattice points on the corners and in the center of each face,
face-centered cubic unit cell,,,other,,simplest repeating unit of a face-centered cubic crystal; it is a cube containing lattice points at each corner and in the center of each face,
first transition series,,,other,,"transition elements in the fourth period of the periodic table (first row of the d-block), atomic numbers 21–29",
fissile (or fissionable),,,other,,when a material is capable of sustaining a nuclear fission reaction,
formal charge,,,other,,charge that would result on an atom by taking the number of valence electrons on the neutral atom and subtracting the nonbonding electrons and the number of bonds (one-half of the bonding electrons),
fourth transition series,,,other,,"transition elements in the seventh period of the periodic table (fourth row of the d-block), atomic numbers 89 and 104–111",
free radical,,,other,,molecule that contains an odd number of electrons,
freezing point depression constant,,,other,,"(also, cryoscopic constant) proportionality constant in the equation relating freezing point depression to solute molality",
fusion,,,other,,"combination of very light nuclei into heavier nuclei, accompanied by the conversion of mass into large amounts of energy",
fusion reactor,,,other,,nuclear reactor in which fusion reactions of light nuclei are controlled,
galvanic (voltaic) cell,,,other,,electrochemical cell in which a spontaneous redox reaction takes place; also called a voltaic cell,
galvanization,,,other,,method of protecting iron or similar metals from corrosion by coating with a thin layer of more easily oxidized zinc.,
gamma (γ) emission,,,other,,decay of an excited-state nuclide accompanied by emission of a gamma ray,
gamma ray,,,other,,"(γ or 00γ) short wavelength, high-energy electromagnetic radiation that exhibits wave-particle duality",
gel,,,other,,colloidal dispersion of a liquid in a solid,
geometric isomers,,,other,,"isomers that differ in the way in which atoms are oriented in space relative to each other, leading to different physical and chemical properties",
gray (Gy),,,other,,SI unit for measuring radiation dose; 1 Gy = 1 J absorbed/kg tissue,
half cell,,,other,,component of a cell that contains the redox conjugate pair (“couple”) of a single reactant,
halide,,,other,,"compound containing an anion of a group 17 element in the 1− oxidation state (fluoride, F−; chloride, Cl−; bromide, Br−; and iodide, I−)",
hemolysis,,,other,,rupture of red blood cells due to the accumulation of excess water by osmosis,
hertz (Hz),,,other,,"the unit of frequency, which is the number of cycles per second, s−1",
hexagonal closest packing (HCP),,,other,,crystalline structure in which close packed layers of atoms or ions are stacked as a series of two alternating layers of different relative orientations (AB),
high-spin complex,,,other,,complex in which the electrons maximize the total electron spin by singly populating all of the orbitals before pairing two electrons into the lower-energy orbitals,
hole,,,other,,"(also, interstice) space between atoms within a crystal",
homonuclear diatomic molecule,,,other,,molecule consisting of two identical atoms,
hybrid orbital,,,other,,orbital created by combining atomic orbitals on a central atom,
hybridization,,,other,,model that describes the changes in the atomic orbitals of an atom when it forms a covalent compound,
hydrogen bonding,,,other,,"occurs when exceptionally strong dipoles attract; bonding that exists when hydrogen is bonded to one of the three most electronegative elements: F, O, or N",
hydrogen carbonate,,,other,,"salt of carbonic acid, H2CO3 (containing the anion HCO3−) in which one hydrogen atom has been replaced; an acid carbonate; also known as bicarbonate ion",
hydrogen halide,,,other,,"binary compound formed between hydrogen and the halogens: HF, HCl, HBr, and HI",
hydrogen sulfate,,,other,,HSO4− ion,
hydrogen sulfite,,,other,,HSO3− ion,
hydrometallurgy,,,other,,"process in which a metal is separated from a mixture by first converting it into soluble ions, extracting the ions, and then reducing the ions to precipitate the pure metal",
hydroxide,,,other,,compound of a metal with the hydroxide ion OH− or the group −OH,
hypervalent molecule,,,other,,molecule containing at least one main group element that has more than eight electrons in its valence shell,
immiscible,,,other,,of negligible mutual solubility; typically refers to liquid substances,
induced dipole,,,other,,temporary dipole formed when the electrons of an atom or molecule are distorted by the instantaneous dipole of a neighboring atom or molecule,
inert electrode,,,other,,electrode that conducts electrons to and from the reactants in a half-cell but that is not itself oxidized or reduced,
inert pair effect,,,other,,tendency of heavy atoms to form ions in which their valence s electrons are not lost,
instantaneous dipole,,,other,,temporary dipole that occurs for a brief moment in time when the electrons of an atom or molecule are distributed asymmetrically,
intensity,,,other,,"property of wave-propagated energy related to the amplitude of the wave, such as brightness of light or loudness of sound",
interference pattern,,,other,,pattern typically consisting of alternating bright and dark fringes; it results from constructive and destructive interference of waves,
interhalogen,,,other,,compound formed from two or more different halogens,
intermolecular force,,,other,,"noncovalent attractive force between atoms, molecules, and/or ions",
internal radiation therapy,,,other,,"(also, brachytherapy) radiation from a radioactive substance introduced into the body to kill cancer cells",
interstitial sites,,,other,,spaces between the regular particle positions in any array of atoms or ions,
ion pair,,,other,,solvated anion/cation pair held together by moderate electrostatic attraction,
ion-dipole attraction,,,other,,electrostatic attraction between an ion and a polar molecule,
ionic solid,,,other,,solid composed of positive and negative ions held together by strong electrostatic attractions,
ionization isomer,,,other,,(or coordination isomer) isomer in which an anionic ligand is replaced by the counter ion in the inner coordination sphere,
ionizing radiation,,,other,,radiation that can cause a molecule to lose an electron and form an ion,
isoelectronic,,,other,,group of ions or atoms that have identical electron configurations,
isomorphous,,,other,,possessing the same crystalline structure,
kelvin (K),,,other,,SI unit of temperature; 273.15 K = 0 ºC,
ketone,,,other,,organic compound containing a carbonyl group with two carbon substituents attached to it,
lanthanide series,,,other,,"(also, lanthanoid series) lanthanum and the elements in the first row or the f-block, atomic numbers 57–71",
lead acid battery,,,other,,rechargeable battery commonly used in automobiles; it typically comprises six galvanic cells based on Pb half-reactions in acidic solution,
leveling effect,,,other,,"observation that acid-base strength of solutes in a given solvent is limited to that of the solvent’s characteristic acid and base species (in water, hydronium and hydroxide ions, respectively)",
line spectrum,,,other,,electromagnetic radiation emitted at discrete wavelengths by a specific atom (or atoms) in an excited state,
linear combination of atomic orbitals,,,other,,technique for combining atomic orbitals to create molecular orbitals,
linkage isomer,,,other,,coordination compound that possesses a ligand that can bind to the transition metal in two different ways (CN− vs. NC−),
lithium ion battery,,,other,,"widely used rechargeable battery commonly used in portable electronic devices, based on lithium ion transfer between the anode and cathode",
low-spin complex,,,other,,complex in which the electrons minimize the total electron spin by pairing in the lower-energy orbitals before populating the higher-energy orbitals,
magic number,,,other,,nuclei with specific numbers of nucleons that are within the band of stability,
mass defect,,,other,,difference between the mass of an atom and the summed mass of its constituent subatomic particles (or the mass “lost” when nucleons are brought together to form a nucleus),
mass-energy equivalence equation,,,other,,Albert Einstein’s relationship showing that mass and energy are equivalent,
metal (representative),,,other,,"atoms of the metallic elements of groups 1, 2, 12, 13, 14, 15, and 16, which form ionic compounds by losing electrons from their outer s or p orbitals",
metallic solid,,,other,,solid composed of metal atoms,
microstate,,,other,,possible configuration or arrangement of matter and energy within a system,
millicurie (mCi),,,other,,larger unit for rate of radioactive decay frequently used in medicine; 1 Ci = 3.7 × 1010 disintegrations/s,
miscible,,,other,,mutually soluble in all proportions; typically refers to liquid substances,
molecular orbital diagram,,,other,,visual representation of the relative energy levels of molecular orbitals,
molecular solid,,,other,,solid composed of neutral molecules held together by intermolecular forces of attraction,
molecular structure,,,other,,arrangement of atoms in a molecule or ion,
monoprotic acid,,,other,,acid containing one ionizable hydrogen atom per molecule,
nickel-cadmium battery,,,other,,rechargeable battery based on Ni/Cd half-cells with applications similar to those of lithium ion batteries,
nitrate,,,other,,NO3− ion; salt of nitric acid,
nitrogen fixation,,,other,,formation of nitrogen compounds from molecular nitrogen,
nonionizing radiation,,,other,,"radiation that speeds up the movement of atoms and molecules; it is equivalent to heating a sample, but is not energetic enough to cause the ionization of molecules",
nonspontaneous process,,,other,,process that requires continual input of energy from an external source,
normal boiling point,,,other,,temperature at which a liquid’s vapor pressure equals 1 atm (760 torr),
nuclear binding energy,,,other,,energy lost when an atom’s nucleons are bound together (or the energy needed to break a nucleus into its constituent protons and neutrons),
nuclear chemistry,,,other,,study of the structure of atomic nuclei and processes that change nuclear structure,
nuclear fuel,,,other,,fissionable isotope present in sufficient quantities to provide a self-sustaining chain reaction in a nuclear reactor,
nuclear moderator,,,other,,substance that slows neutrons to a speed low enough to cause fission,
nuclear reaction,,,other,,"change to a nucleus resulting in changes in the atomic number, mass number, or energy state",
nuclear reactor,,,other,,environment that produces energy via nuclear fission in which the chain reaction is controlled and sustained without explosion,
nuclear transmutation,,,other,,conversion of one nuclide into another nuclide,
nucleon,,,other,,collective term for protons and neutrons in a nucleus,
nuclide,,,other,,nucleus of a particular isotope,
octahedral hole,,,other,,open space in a crystal at the center of six particles located at the corners of an octahedron,
octet rule,,,other,,"guideline that states main group atoms will form structures in which eight valence electrons interact with each nucleus, counting bonding electrons as interacting with both atoms connected by the bond",
optical isomer,,,other,,"(also, enantiomer) molecule that is a nonsuperimposable mirror image with identical chemical and physical properties, except when it reacts with other optical isomers",
orbital diagram,,,other,,pictorial representation of the electron configuration showing each orbital as a box and each electron as an arrow,
organic compound,,,other,,natural or synthetic compound that contains carbon,
overlap,,,other,,"coexistence of orbitals from two different atoms sharing the same region of space, leading to the formation of a covalent bond",
oxide,,,other,,"binary compound of oxygen with another element or group, typically containing O2− ions or the group –O– or =O",
ozone,,,other,,allotrope of oxygen; O3,
pOH,,,other,,logarithmic measure of the concentration of hydroxide ions in a solution,
pairing energy (P),,,other,,energy required to place two electrons with opposite spins into a single orbital,
paramagnetism,,,other,,phenomenon in which a material is not magnetic itself but is attracted to a magnetic field; it occurs when there are unpaired electrons present,
parent nuclide,,,other,,unstable nuclide that changes spontaneously into another (daughter) nuclide,
partially miscible,,,other,,of moderate mutual solubility; typically refers to liquid substances,
particle accelerator,,,other,,device that uses electric and magnetic fields to increase the kinetic energy of nuclei used in transmutation reactions,
passivation,,,other,,metals with a protective nonreactive film of oxide or other compound that creates a barrier for chemical reactions; physical or chemical removal of the passivating film allows the metals to demonstrate their expected chemical reactivity,
percent ionization,,,other,,ratio of the concentration of ionized acid to initial acid concentration expressed as a percentage,
peroxide,,,other,,"molecule containing two oxygen atoms bonded together or as the anion, O22−",
photosynthesis,,,other,,process whereby light energy promotes the reaction of water and carbon dioxide to form carbohydrates and oxygen; this allows photosynthetic organisms to store energy,
pi bond (π bond),,,other,,covalent bond formed by side-by-side overlap of atomic orbitals; the electron density is found on opposite sides of the internuclear axis,
platinum metals,,,other,,"group of six transition metals consisting of ruthenium, osmium, rhodium, iridium, palladium, and platinum that tend to occur in the same minerals and demonstrate similar chemical properties",
polar covalent bond,,,other,,covalent bond between atoms of different electronegativities; a covalent bond with a positive end and a negative end,
polar molecule,,,other,,"(also, dipole) molecule with an overall dipole moment",
polydentate ligand,,,other,,"ligand that is attached to a central metal ion by bonds from two or more donor atoms, named with prefixes specifying how many donors are present (e.g., hexadentate = six coordinate bonds formed)",
polymorph,,,other,,variation in crystalline structure that results in different physical properties for the resulting compound,
positron emission,,,other,,"(also, β+ decay) conversion of a proton into a neutron, which remains in the nucleus, and a positron, which is emitted",
primary cell,,,other,,"nonrechargeable battery, suitable for single use only",
pure covalent bond,,,other,,"(also, nonpolar covalent bond) covalent bond between atoms of identical electronegativities",
quantization,,,other,,"limitation of some property to specific discrete values, not continuous",
radiation absorbed dose (rad),,,other,,"SI unit for measuring radiation dose, frequently used in medical applications; 1 rad = 0.01 Gy",
radiation dosimeter,,,other,,device that measures ionizing radiation and is used to determine personal radiation exposure,
radiation therapy,,,other,,"use of high-energy radiation to damage the DNA of cancer cells, which kills them or keeps them from dividing",
radioactive decay,,,other,,spontaneous decay of an unstable nuclide into another nuclide,
radioactive decay series,,,other,,chains of successive disintegrations (radioactive decays) that ultimately lead to a stable end-product,
radioactive tracer,,,other,,"(also, radioactive label) radioisotope used to track or follow a substance by monitoring its radioactive emissions",
radiocarbon dating,,,other,,"highly accurate means of dating objects 30,000–50,000 years old that were derived from once-living matter; achieved by calculating the ratio of 614C : 612C in the object vs. the ratio of 614C : 612C in the present-day atmosphere",
radioisotope,,,other,,"isotope that is unstable and undergoes conversion into a different, more stable isotope",
radiometric dating,,,other,,"use of radioisotopes and their properties to date the formation of objects such as archeological artifacts, formerly living organisms, or geological formations",
rare earth element,,,other,,"collection of 17 elements including the lanthanides, scandium, and yttrium that often occur together and have similar chemical properties, making separation difficult",
reactor coolant,,,other,,assembly used to carry the heat produced by fission in a reactor to an external boiler and turbine where it is transformed into electricity,
relative biological effectiveness (RBE),,,other,,measure of the relative damage done by radiation,
representative metal,,,other,,metal among the representative elements,
resonance forms,,,other,,two or more Lewis structures that have the same arrangement of atoms but different arrangements of electrons,
resonance hybrid,,,other,,average of the resonance forms shown by the individual Lewis structures,
reversible process,,,other,,process that takes place so slowly as to be capable of reversing direction in response to an infinitesimally small change in conditions; hypothetical construct that can only be approximated by real processes,
roentgen equivalent man (rem),,,other,,"unit for radiation damage, frequently used in medicine; 100 rem = 1 Sv",
s-p mixing,,,other,,change that causes σp orbitals to be less stable than πp orbitals due to the mixing of s and p-based molecular orbitals of similar energies.,
saturated hydrocarbon,,,other,,molecule containing carbon and hydrogen that has only single bonds between carbon atoms,
scintillation counter,,,other,,instrument that uses a scintillator—a material that emits light when excited by ionizing radiation—to detect and measure radiation,
second law of thermodynamics,,,other,,all spontaneous processes involve an increase in the entropy of the universe,
second transition series,,,other,,"transition elements in the fifth period of the periodic table (second row of the d-block), atomic numbers 39–47",
secondary cell,,,other,,battery designed to allow recharging,
selective precipitation,,,other,,process in which ions are separated using differences in their solubility with a given precipitating reagent,
semipermeable membrane,,,other,,a membrane that selectively permits passage of certain ions or molecules,
sievert (Sv),,,other,,SI unit measuring tissue damage caused by radiation; takes into account energy and biological effects of radiation,
sigma bond (σ bond),,,other,,covalent bond formed by overlap of atomic orbitals along the internuclear axis,
silicate,,,other,,"compound containing silicon-oxygen bonds, with silicate tetrahedra connected in rings, sheets, or three-dimensional networks, depending on the other elements involved in the formation of the compounds",
simple cubic structure,,,other,,crystalline structure with a cubic unit cell with lattice points only at the corners,
simple cubic unit cell,,,other,,"(also, primitive cubic unit cell) unit cell in the simple cubic structure",
skeletal structure,,,other,,"shorthand method of drawing organic molecules in which carbon atoms are represented by the ends of lines and bends in between lines, and hydrogen atoms attached to the carbon atoms are not shown (but are understood to be present by the context of the structure)",
smelting,,,other,,process of extracting a pure metal from a molten ore,
solvation,,,other,,exothermic process in which intermolecular attractive forces between the solute and solvent in a solution are established,
space lattice,,,other,,all points within a crystal that have identical environments,
spectrochemical series,,,other,,ranking of ligands according to the magnitude of the crystal field splitting they induce,
spontaneous change,,,other,,process that takes place without a continuous input of energy from an external source,
spontaneous process,,,other,,physical or chemical change that occurs without the addition of energy from an external source,
standard hydrogen electrode (SHE),,,other,,"half-cell based on hydrogen ion production, assigned a potential of exactly 0 V under standard state conditions, used as the universal reference for measuring electrode potential",
standing wave,,,other,,"(also, stationary wave) localized wave phenomenon characterized by discrete wavelengths determined by the boundary conditions used to generate the waves; standing waves are inherently quantized",
steel,,,other,,material made from iron by removing impurities in the iron and adding substances that produce alloys with properties suitable for specific uses,
stepwise ionization,,,other,,process in which a polyprotic acid is ionized by losing protons sequentially,
strong electrolyte,,,other,,substance that dissociates or ionizes completely when dissolved in water,
strong nuclear force,,,other,,force of attraction between nucleons that holds a nucleus together,
strong-field ligand,,,other,,ligand that causes larger crystal field splittings,
subcritical mass,,,other,,amount of fissionable material that cannot sustain a chain reaction; less than a critical mass,
substituent,,,other,,branch or functional group that replaces hydrogen atoms in a larger hydrocarbon chain,
substitution reaction,,,other,,reaction in which one atom replaces another in a molecule,
sulfate,,,other,,SO42− ion,
sulfite,,,other,,SO32− ion,
supercritical fluid,,,other,,substance at a temperature and pressure higher than its critical point; exhibits properties intermediate between those of gaseous and liquid states,
