english,icelandic,pos,definition_en,definition_is,status,source,alternatives,category,chapter,notes
active electrode,,,electrode that participates as a reactant or product in the oxidation-reduction reaction of an electrochemical cell; the mass of an active electrode changes during the oxidation-reduction reaction,,needs_review,openstax-glossary,,other,17,
activity,virkni,,,,approved,chemistry-society-csv,,other,,
activity coefficient,virknistuðull,,,,approved,chemistry-society-csv,,other,,
activity series,virkniröð,,,,approved,chemistry-society-csv,,other,,
actual yield,raunheimtur,,amount of product formed in a reaction,magn myndefnis sem myndast í efnahvarfi,approved,chemistry-society-csv,,other,4,
addition,álagning,,,,approved,chemistry-society-csv,,other,,
addition funnel,dropatrekt,,,,approved,chemistry-society-csv,,other,,
addition reaction,,,reaction in which a double carbon-carbon bond forms a single carbon-carbon bond by the addition of a reactant. Typical reaction for an alkene.,,needs_review,openstax-glossary,,other,20,
adhesion,viðloðun,,,,approved,chemistry-society-csv,,other,,
adhesive force,,,force of attraction between molecules of different chemical identities,,needs_review,openstax-glossary,,other,10,
adiabatic,jafnvarma,,,,approved,chemistry-society-csv,,other,,
adsorb,aðsogast,,,,approved,chemistry-society-csv,,other,,
aggregate,þyrpast saman,,,,approved,chemistry-society-csv,,other,,
aggregate,þyrping,,,,approved,chemistry-society-csv,,other,,
aggregation,þyrping,,,,approved,chemistry-society-csv,,other,,
alcohol,,,organic compound with a hydroxyl group (–OH) bonded to a carbon atom,,needs_review,openstax-glossary,,other,20,
aldehyde,,,organic compound containing a carbonyl group bonded to two hydrogen atoms or a hydrogen atom and a carbon substituent,,needs_review,openstax-glossary,,other,20,
alkali metal,alkalímálmur,,element in group 1,frumefni í hópi 1,approved,chemistry-society-csv,,periodic table,2,
alkaline battery,,,"primary battery similar to a dry cell that uses an alkaline (often potassium hydroxide) electrolyte; designed to be an improved replacement for the dry cell, but with more energy storage and less electrolyte leakage than typical dry cell",,needs_review,openstax-glossary,,other,17,
alkaline earth metal,jarðalkalímálmur,,element in group 2,frumefni í hópi 2,approved,chemistry-society-csv,,other,2,
alkane,,,molecule consisting of only carbon and hydrogen atoms connected by single (σ) bonds,,needs_review,openstax-glossary,,other,20,
alkene,,,molecule consisting of carbon and hydrogen containing at least one carbon-carbon double bond,,needs_review,openstax-glossary,,other,20,
alkyl group,,,"substituent, consisting of an alkane missing one hydrogen atom, attached to a larger structure",,needs_review,openstax-glossary,,other,20,
alkyne,,,molecule consisting of carbon and hydrogen containing at least one carbon-carbon triple bond,,needs_review,openstax-glossary,,other,20,
allotropes,,,"two or more forms of the same element, in the same physical state, with different chemical structures",,needs_review,openstax-glossary,,other,18,
allowed energy levels,leyfð orkuþrep,,,,approved,chemistry-society-csv,,other,,
alloy,melmi,,solid mixture of a metallic element and one or more additional elements,,approved,chemistry-society-csv,,other,11,
alpha (α) decay,,,loss of an alpha particle during radioactive decay,,needs_review,openstax-glossary,,other,21,
alpha particle,,,(α or 24He or 24α) high-energy helium nucleus; a helium atom that has lost two electrons and contains two protons and two neutrons,,needs_review,openstax-glossary,,other,21,
alpha particle (α particle),alfaeind (α-eind),,positively charged particle consisting of two protons and two neutrons,jákvætt hlaðin eind sem samanstendur af tveimur róteindum og tveimur nifteindum,proposed,openstax-mt,,other,2,
amide,,,organic molecule that features a nitrogen atom connected to the carbon atom in a carbonyl group,,needs_review,openstax-glossary,,other,20,
amine,,,organic molecule in which a nitrogen atom is bonded to one or more alkyl group,,needs_review,openstax-glossary,,other,20,
Amontons’s law,lögmál Amontons,,"(also, Gay-Lussac’s law) pressure of a given number of moles of gas is directly proportional to its kelvin temperature when the volume is held constant",(einnig lögmál Gay-Lussac) þrýstingur ákveðins fjölda móla af gasi er í beinu hlutfalli við kelvinhitastig þess þegar rúmmálinu er haldið föstu,proposed,openstax-mt,,other,9,
amorphous,,,solid material such as a glass that does not have a regular repeating component to its three-dimensional structure; a solid but not a crystal,,needs_review,openstax-glossary,,other,18,
amorphous solid,myndlaust fastefni,,"(also, noncrystalline solid) solid in which the particles lack an ordered internal structure",,approved,chemistry-society-csv,,other,10,
amphiphilic,,,molecules possessing both hydrophobic (nonpolar) and a hydrophilic (polar) parts,,needs_review,openstax-glossary,,other,11,
amphiprotic,,,species that may either donate or accept a proton in a Brønsted-Lowry acid-base reaction,,needs_review,openstax-glossary,,other,14,
amphoteric,,,species that can act as either an acid or a base,,needs_review,openstax-glossary,,other,14,
amplitude,útslag,,extent of the displacement caused by a wave,,approved,chemistry-society-csv,,other,6,
analyte,greiningarefni,,chemical species of interest,efni sem á að greina,proposed,openstax-mt,,other,4,
analytical chemistry,efnagreining,,,,approved,chemistry-society-csv,,other,,
angular moment quantum number,hliðarskammtatala,,,,approved,chemistry-society-csv,,other,,
anion,anjón,,negatively charged atom or molecule (contains more electrons than protons),neikvætt hlaðið atóm eða sameind (inniheldur fleiri rafeindir en róteindir),approved,chemistry-society-csv,,fundamental,2,Negative ion
anode,anóða,,electrode in an electrochemical cell at which oxidation occurs,,approved,chemistry-society-csv,,other,17,
antibonding,andbindandi,,,,approved,chemistry-society-csv,,other,,
antibonding orbital,,,molecular orbital located outside of the region between two nuclei; electrons in an antibonding orbital destabilize the molecule,,needs_review,openstax-glossary,,other,8,
antimatter,,,particles with the same mass but opposite properties (such as charge) of ordinary particles,,needs_review,openstax-glossary,,other,21,
approximation,nálgun,,,,approved,chemistry-society-csv,,other,,
aqueous solution,vatnslausn,,solution for which water is the solvent,lausn þar sem vatn er leysirinn,proposed,openstax-mt,,other,3,
aromatic hydrocarbon,,,"cyclic molecule consisting of carbon and hydrogen with delocalized alternating carbon-carbon single and double bonds, resulting in enhanced stability",,needs_review,openstax-glossary,,other,20,
Arrhenius equation,Arrheniusar-jafna,,"mathematical relationship between a reaction’s rate constant, activation energy, and temperature","stærðfræðilegt samband milli hraðafasta, virkjunarorku og hitastigs hvarfs",proposed,openstax-mt,,other,12,
atmosphere (atm),staðalloftþrýstingur (atm),,"unit of pressure; 1 atm = 101,325 Pa",þrýstingseining; 1 atm = 101.325 Pa,proposed,openstax-mt,,other,9,
atom,atóm,,smallest particle of an element that can enter into a chemical combination,minnsta eind frumefnis sem getur tekið þátt í efnahvarfi,approved,chemistry-society-csv,,fundamental,1,Also: frumeind (older usage)
atom,frumeind,,smallest particle of an element that can enter into a chemical combination,minnsta eind frumefnis sem getur tekið þátt í efnahvarfi,approved,chemistry-society-csv,,fundamental,1,Also: frumeind (older usage)
atomic mass,atómmassi,,"average mass of atoms of an element, expressed in amu","meðalmassi atóma frumefnis, gefinn upp í atómmassaeiningum (amu)",approved,chemistry-society-csv,,concepts,2,
atomic mass unit,atómmassaeining,,,,approved,chemistry-society-csv,,other,,
atomic mass unit (amu),atómmassaeining (amu),,"(also, unified atomic mass unit, u, or Dalton, Da) unit of mass equal to 112 of the mass of a 12C atom","(einnig, sameinuð atómmassaeining, u, eða Dalton, Da) massaeining sem jafngildir 1/12 af massa 12C atóms",proposed,openstax-mt,,other,2,
atomic model,frumeindalíkan,,,,approved,chemistry-society-csv,,other,,
atomic number,sætistala,,,,approved,chemistry-society-csv,,other,,
atomic number (Z),sætistala (Z),,number of protons in the nucleus of an atom,fjöldi róteinda í kjarna atóms,proposed,openstax-mt,,other,2,
atomic orbital,frumeindasvigrúm,,mathematical function that describes the behavior of an electron in an atom (also called the wavefunction),,approved,chemistry-society-csv,,other,6,
atomic radius,atómradíus,,,,approved,chemistry-society-csv,,other,,
atomic spectrum,litróf frumeindar,,,,approved,chemistry-society-csv,,other,,
atomic symbol,frumeindatákn,,,,approved,chemistry-society-csv,,other,,
Aufbau principle,,,"procedure in which the electron configuration of the elements is determined by “building” them in order of atomic numbers, adding one proton to the nucleus and one electron to the proper subshell at a time",,needs_review,openstax-glossary,,other,6,
autoionization,sjálfjónun,,"reaction between identical species yielding ionic products; for water, this reaction involves transfer of protons to yield hydronium and hydroxide ions",,approved,chemistry-society-csv,,other,14,
autoionization constant of water,klofningsfasti vatns,,,,approved,chemistry-society-csv,,other,,
average rate,meðalhraði,,rate of a chemical reaction computed as the ratio of a measured change in amount or concentration of substance to the time interval over which the change occurred,hvarfhraði efnahvarfs reiknaður sem hlutfall mældrar breytingar á magni eða styrk efnis og tímabilsins sem breytingin á sér stað yfir,approved,chemistry-society-csv,,other,12,
Avogadro's number,tala Avogadros,,,,approved,idordabankinn,,constants,,
Avogadro’s law,lögmál Avogadros,,volume of a gas at constant temperature and pressure is proportional to the number of gas molecules,rúmmál gass við fast hitastig og þrýsting er í hlutfalli við fjölda gassameinda,proposed,openstax-mt,,other,9,
Tala Avogadros (NA),Tala Avogadros (NA),,,"tilraunakennt ákvarðað gildi fjölda einda sem mynda 1 mól af efni, jafnt og 6,022 × 1023 mól−1",proposed,openstax-mt,,other,3,
axial position,,,location in a trigonal bipyramidal geometry in which there is another atom at a 180° angle and the equatorial positions are at a 90° angle,,needs_review,openstax-glossary,,other,7,
balanced equation,Stillt jafna,,chemical equation with equal numbers of atoms for each element in the reactant and product,Efnajafna með jöfnum fjölda atóma fyrir hvert frumefni í hvarfefninu og myndefninu,proposed,openstax-mt,,other,4,
band of stability,,,"(also, belt of stability, zone of stability, or valley of stability) region of graph of number of protons versus number of neutrons containing stable (nonradioactive) nuclides",,needs_review,openstax-glossary,,other,21,
band theory,borðalíkan,,,,approved,chemistry-society-csv,,other,,
bar,,,"(bar or b) unit of pressure; 1 bar = 100,000 Pa",,needs_review,openstax-glossary,,other,9,
barometer,loftvog,,device used to measure atmospheric pressure,tæki sem notað er til að mæla loftþrýsting,proposed,openstax-mt,,other,9,
base,basi,,substance that produces OH− when dissolved in water,efni sem myndar OH− þegar það er leyst upp í vatni,approved,chemistry-society-csv,,acids-bases,4,
base anhydride,basaanhýdríð,,metal oxide that behaves as a base towards acids,,approved,chemistry-society-csv,,other,18,
base ionization,,,"reaction involving the transfer of a proton from water to a base, yielding hydroxide ions and the conjugate acid of the base",,needs_review,openstax-glossary,,other,14,
basic,basískur,,a solution in which [H3O+] &lt; [OH−],,approved,chemistry-society-csv,,other,14,
basicity,basastig,,,,approved,chemistry-society-csv,,other,,
battery,,,single or series of galvanic cells designed for use as a source of electrical power,,needs_review,openstax-glossary,,other,17,
beaker,bikarglas,,,,approved,chemistry-society-csv,,other,,
becquerel (Bq),,,SI unit for rate of radioactive decay; 1 Bq = 1 disintegration/s,,needs_review,openstax-glossary,,other,21,
bent,beygður,,,,approved,chemistry-society-csv,,other,,
beta (β) decay,,,"breakdown of a neutron into a proton, which remains in the nucleus, and an electron, which is emitted as a beta particle",,needs_review,openstax-glossary,,other,21,
beta particle,,,(β or −10e or −10β) high-energy electron,,needs_review,openstax-glossary,,other,21,
bicarbonate anion,,,"salt of the hydrogen carbonate ion, HCO3−",,needs_review,openstax-glossary,,other,18,
bidentate,tvítenntur,,,,approved,chemistry-society-csv,,other,,
bidentate ligand,,,ligand that coordinates to one central metal through coordinate bonds from two different atoms,,needs_review,openstax-glossary,,other,19,
bimolecular reaction,tvísameinda efnahvarf,,elementary reaction involving two reactant entities,grunnskrefshvarf sem felur í sér tvær hvarfefnaeindir,approved,chemistry-society-csv,tvísameindahvarf,other,12,
binary acid,tvíliða sýra,,"compound that contains hydrogen and one other element, bonded in a way that imparts acidic properties to the compound (ability to release H+ ions when dissolved in water)","efnasamband sem inniheldur vetni og eitt annað frumefni, tengt á þann hátt að það gefur efnasambandinu súra eiginleika (getu til að losa H+ jónir þegar það er leyst upp í vatni)",proposed,openstax-mt,,other,2,
binary compound,tvíliða efnasamband,,compound containing two different elements.,efnasamband sem inniheldur tvö mismunandi frumefni.,proposed,openstax-mt,,other,2,
binding energy,bindiorka,,,,approved,chemistry-society-csv,,other,,
binding energy per nucleon,,,total binding energy for the nucleus divided by the number of nucleons in the nucleus,,needs_review,openstax-glossary,,other,21,
biochemistry,lífefnafræði,,,,approved,chemistry-society-csv,,other,,
bismuth,,,heaviest member of group 15; a less reactive metal than other representative metals,,needs_review,openstax-glossary,,other,18,
black body radiation,svarthlutageislun,,,,approved,chemistry-society-csv,,other,,
blackbody,,,idealized perfect absorber of all incident electromagnetic radiation; such bodies emit electromagnetic radiation in characteristic continuous spectra called blackbody radiation,,needs_review,openstax-glossary,,other,6,
block,blokk,,,,approved,chemistry-society-csv,,other,,
body-centered cubic,miðjusetinn teningur,,,,approved,chemistry-society-csv,,other,,
body-centered cubic,miðlæg teningslaga,verb,,,approved,chemistry-society-csv,,other,,
body-centered cubic (BCC) solid,,,crystalline structure that has a cubic unit cell with lattice points at the corners and in the center of the cell,,needs_review,openstax-glossary,,other,10,
body-centered cubic unit cell,,,simplest repeating unit of a body-centered cubic crystal; it is a cube containing lattice points at each corner and in the center of the cube,,needs_review,openstax-glossary,,other,10,
Bohr’s model of the hydrogen atom,,,"structural model in which an electron moves around the nucleus only in circular orbits, each with a specific allowed radius",,needs_review,openstax-glossary,,other,6,
boiling point,suðumark,,temperature at which the vapor pressure of a liquid equals the pressure of the gas above it,,approved,chemistry-society-csv,,other,10,
boiling point elevation,suðumarkshækkun,,elevation of the boiling point of a liquid by addition of a solute,,approved,chemistry-society-csv,,other,11,
boiling point elevation constant,,,the proportionality constant in the equation relating boiling point elevation to solute molality; also known as the ebullioscopic constant,,needs_review,openstax-glossary,,other,11,
bomb calorimeter,sprengikaloríumælir,,device designed to measure the energy change for processes occurring under conditions of constant volume; commonly used for reactions involving solid and gaseous reactants or products,tæki sem er hannað til að mæla orkubreytingu fyrir ferli sem eiga sér stað við fast rúmmál; almennt notað fyrir efnahvörf sem fela í sér föst efni og loftkennd hvarfefni eða myndefni,proposed,openstax-mt,,other,5,
bond,efnatengi,,,,approved,idordabankinn,,bonding,,Chemical bond
bond angle,,,angle between any two covalent bonds that share a common atom,,needs_review,openstax-glossary,,other,7,
bond dipole moment,,,separation of charge in a bond that depends on the difference in electronegativity and the bond distance represented by partial charges or a vector,,needs_review,openstax-glossary,,other,7,
bond distance,,,"(also, bond length) distance between the nuclei of two bonded atoms",,needs_review,openstax-glossary,,other,7,
bond energy,tengjaorka,,"(also, bond dissociation energy) energy required to break a covalent bond in a gaseous substance",,approved,chemistry-society-csv,,other,7,
bond length,,,distance between the nuclei of two bonded atoms at which the lowest potential energy is achieved,,needs_review,openstax-glossary,,other,7,
bond order,tengigráða,,number of pairs of electrons between two atoms; it can be found by the number of bonds in a Lewis structure or by the difference between the number of bonding and antibonding electrons divided by two,,approved,chemistry-society-csv,,other,8,
bonding orbital,,,molecular orbital located between two nuclei; electrons in a bonding orbital stabilize a molecule,,needs_review,openstax-glossary,,other,8,
borate,,,"compound containing boron-oxygen bonds, typically with clusters or chains as a part of the chemical structure",,needs_review,openstax-glossary,,other,18,
Born-Haber cycle,,,thermochemical cycle relating the various energetic steps involved in the formation of an ionic solid from the relevant elements,,needs_review,openstax-glossary,,other,7,
Boyle’s law,lögmál Boyles,,volume of a given number of moles of gas held at constant temperature is inversely proportional to the pressure under which it is measured,rúmmál ákveðins fjölda móla af gasi sem haldið er við fast hitastig er í öfugu hlutfalli við þrýstinginn sem það er mælt við,proposed,openstax-mt,,other,9,
Bragg equation,,,equation that relates the angles at which X-rays are diffracted by the atoms within a crystal,,needs_review,openstax-glossary,,other,10,
brightness,ljósstyrkur,,,,approved,chemistry-society-csv,,other,,
Brønsted-Lowry acid,,,proton donor,,needs_review,openstax-glossary,,other,14,
Brønsted-Lowry base,,,proton acceptor,,needs_review,openstax-glossary,,other,14,
Buchner funnel,Büchner trekt,,,,approved,chemistry-society-csv,,other,,
buffer,stuðpúði,,mixture of appreciable amounts of a weak acid-base pair. The pH of a buffer resists change when small amounts of acid or base are added,,approved,chemistry-society-csv,,acids-bases,14,Buffer solution
buffer capacity,,,amount of an acid or base that can be added to a volume of a buffer solution before its pH changes significantly (usually by one pH unit),,needs_review,openstax-glossary,,other,14,
buffer solution,stuðpúðalausn,,,,approved,chemistry-society-csv,,other,,
Bunsen burner,Bunsen brennari,,,,approved,chemistry-society-csv,,other,,
buret,búretta,,"device used for the precise delivery of variable liquid volumes, such as in a titration analysis","tæki sem notað er til að skammta nákvæmlega breytilegt rúmmál vökva, til dæmis við títrunargreiningu",proposed,openstax-mt,,other,4,
burette,búretta,,,,approved,chemistry-society-csv,,other,,
Büchner funnel,Büchner trekt,,,,approved,chemistry-society-csv,,other,,
calorie (cal),kalóría (cal),,unit of heat or other energy; the amount of energy required to raise 1 gram of water by 1 degree Celsius; 1 cal is defined as 4.184 J,"eining fyrir varma eða aðra orku; orkumagnið sem þarf til að hækka hitastig 1 gramms af vatni um 1 gráðu á Celsíus; 1 cal er skilgreint sem 4,184 J",proposed,openstax-mt,,other,5,
calorimeter,kaloríumælir,,device used to measure the amount of heat absorbed or released in a chemical or physical process,tæki sem notað er til að mæla magn varma sem frásogast eða losnar í efna- eða eðlisfræðilegu ferli,proposed,openstax-mt,,other,5,
calorimetry,kaloríumæling,,process of measuring the amount of heat involved in a chemical or physical process,ferlið við að mæla magn varma sem tekur þátt í efna- eða eðlisfræðilegu ferli,proposed,openstax-mt,,other,5,
capillary action,,,flow of liquid within a porous material due to the attraction of the liquid molecules to the surface of the material and to other liquid molecules,,needs_review,openstax-glossary,,other,10,
capillary force,hárpípukraftur,,,,approved,chemistry-society-csv,,other,,
carbon dioxide,koldíoxíð,,,,approved,chemistry-society-csv,,other,,
carbon monoxide,kolmónoxíð,,,,approved,chemistry-society-csv,,other,,
carbonate,,,salt of the anion CO32−; often formed by the reaction of carbon dioxide with bases,,needs_review,openstax-glossary,,other,18,
carbonyl group,,,carbon atom double bonded to an oxygen atom,,needs_review,openstax-glossary,,other,20,
carboxylic acid,,,organic compound containing a carbonyl group with an attached hydroxyl group,,needs_review,openstax-glossary,,other,20,
catalysis,hvötun,,,,approved,chemistry-society-csv,,other,,
catalyst,hvati,,substance that increases the rate of a reaction without itself being consumed by the reaction,efni sem eykur hvarfhraða án þess að eyðast sjálft í hvarfinu,approved,chemistry-society-csv,,reactions,12,
cathode,katóða,,electrode in an electrochemical cell at which reduction occurs,,approved,chemistry-society-csv,,other,17,
cathodic protection,katóðuvörn,,approach to preventing corrosion of a metal object by connecting it to a sacrificial anode composed of a more readily oxidized metal,,approved,chemistry-society-csv,,other,17,
cation,katjón,,positively charged atom or molecule (contains fewer electrons than protons),jákvætt hlaðið atóm eða sameind (inniheldur færri rafeindir en róteindir),approved,chemistry-society-csv,,fundamental,2,Positive ion
cell notation (schematic),,,symbolic representation of the components and reactions in an electrochemical cell,,needs_review,openstax-glossary,,other,17,
cell potential,kerspenna,,,,approved,chemistry-society-csv,,other,,
Celsius (°C),Selsíus (°C),,unit of temperature; water freezes at 0 °C and boils at 100 °C on this scale,eining fyrir hitastig; vatn frýs við 0 °C og sýður við 100 °C á þessum skala,proposed,openstax-mt,,other,1,
central metal,,,ion or atom to which one or more ligands is attached through coordinate covalent bonds,,needs_review,openstax-glossary,,other,19,
centrifuge,skilvinda,,,,approved,chemistry-society-csv,,other,,
chain reaction,,,repeated fission caused when the neutrons released in fission bombard other atoms,,needs_review,openstax-glossary,,other,21,
chalcogen,kalkógen,,element in group 16,frumefni í hópi 16,proposed,openstax-mt,,other,2,
change of state,fasaskipti,,,,approved,chemistry-society-csv,,other,,
charge,hleðsla,,,,approved,chemistry-society-csv,,other,,
Charles’s law,lögmál Charles,,volume of a given number of moles of gas is directly proportional to its kelvin temperature when the pressure is held constant,rúmmál ákveðins fjölda móla af gasi er í beinu hlutfalli við kelvinhitastig þess þegar þrýstingnum er haldið föstum,proposed,openstax-mt,,other,9,
chelate,,,complex formed from a polydentate ligand attached to a central metal,,needs_review,openstax-glossary,,other,19,
chelating ligand,,,ligand that attaches to a central metal ion by bonds from two or more donor atoms,,needs_review,openstax-glossary,,other,19,
chemical bond,efnatengi,,,,approved,chemistry-society-csv,,other,,
chemical change,efnabreyting,,change producing a different kind of matter from the original kind of matter,breyting sem framleiðir annars konar efni en upprunalega efnið,approved,idordabankinn,,changes,1,
chemical energy,efnaorka,,,,approved,chemistry-society-csv,,other,,
chemical equation,efnajafna,,symbolic representation of a chemical reaction,Táknræn framsetning á efnahvarfi,proposed,idordabankinn,,concepts,4,
chemical equilibrium,efnajafnvægi,,,,approved,chemistry-society-csv,,other,,
chemical formula,efnaformúla,,,,approved,chemistry-society-csv,,other,,
chemical properties,efnaeiginleikar,,,,approved,chemistry-society-csv,,other,,
chemical property,efnafræðilegur eiginleiki,,behavior that is related to the change of one kind of matter into another kind of matter,hegðun sem tengist breytingu á einni tegund efnis í aðra,approved,idordabankinn,efnaeiginleiki,properties,1,
chemical reaction,efnahvarf,,,,approved,chemistry-society-csv,,other,,
chemical reduction,,,method of preparing a representative metal using a reducing agent,,needs_review,openstax-glossary,,other,18,
chemical substance,hreint efni,,,,approved,chemistry-society-csv,,other,,
chemical symbol,efnatákn,,"one-, two-, or three-letter abbreviation used to represent an element or its atoms","eins, tveggja eða þriggja stafa skammstöfun sem notuð er til að tákna frumefni eða atóm þess",proposed,openstax-mt,,other,2,
chemical thermodynamics,efnavarmafræði,,"area of science that deals with the relationships between heat, work, and all forms of energy associated with chemical and physical processes","vísindasvið sem fjallar um tengslin milli varma, vinnu og allra orkuforma sem tengjast efna- og eðlisfræðilegum ferlum",proposed,openstax-mt,,other,5,
chemiluminescence,hvarfljómun,,,,approved,chemistry-society-csv,,other,,
chemistry,efnafræði,,"study of the composition, properties, and interactions of matter","rannsókn á samsetningu, eiginleikum og víxlverkun efnis",approved,chemistry-society-csv,,other,1,
chemotherapy,,,"similar to internal radiation therapy, but chemical rather than radioactive substances are introduced into the body to kill cancer cells",,needs_review,openstax-glossary,,other,21,
chiral center,hendnimiðja,,,,approved,chemistry-society-csv,,other,,
chirality,hendni,,,,approved,chemistry-society-csv,,other,,
chlor-alkali process,,,electrolysis process for the synthesis of chlorine and sodium hydroxide,,needs_review,openstax-glossary,,other,18,
chromatography,litskiljun,,,,approved,chemistry-society-csv,,other,,
Clausius-Clapeyron equation,,,"mathematical relationship between the temperature, vapor pressure, and enthalpy of vaporization for a substance",,needs_review,openstax-glossary,,other,10,
coefficient,stuðull,,number placed in front of symbols or formulas in a chemical equation to indicate their relative amount,Tala sem er sett fyrir framan tákn eða formúlur í efnajöfnu til að gefa til kynna hlutfallslegt magn þeirra,approved,chemistry-society-csv,,other,4,
cohesion,samloðun,,,,approved,chemistry-society-csv,,other,,
cohesive force,,,force of attraction between identical molecules,,needs_review,openstax-glossary,,other,10,
colligative property,,,property of a solution that depends only on the concentration of a solute species,,needs_review,openstax-glossary,,other,11,
collision theory,árekstrakenningin,,model that emphasizes the energy and orientation of molecular collisions to explain and predict reaction kinetics,líkan sem leggur áherslu á orku og stefnu sameindaárekstra til að útskýra og spá fyrir um hraðafræði hvarfa,approved,chemistry-society-csv,,other,12,
colloid,svif,,"(also, colloidal dispersion) mixture in which relatively large solid or liquid particles are dispersed uniformly throughout a gas, liquid, or solid",,approved,chemistry-society-csv,,other,11,
colloidal suspension,sviflausn,,,,approved,chemistry-society-csv,,other,,
color-change interval,,,range in pH over which the color change of an indicator is observed,,needs_review,openstax-glossary,,other,14,
combustion,bruni,,,,approved,chemistry-society-csv,,other,,
combustion analysis,brunagreining,,gravimetric technique used to determine the elemental composition of a compound via the collection and weighing of its gaseous combustion products,þyngdarmælingaraðferð sem notuð er til að ákvarða frumefnasamsetningu efnasambands með söfnun og vigtun á loftkenndum myndefnum bruna þess,proposed,openstax-mt,,other,4,
combustion reaction,brunahvarf,,"vigorous redox reaction producing significant amounts of energy in the form of heat and, sometimes, light",kröftugt oxunar-afoxunarhvarf sem framleiðir umtalsvert magn af orku í formi varma og stundum ljóss,proposed,openstax-mt,,other,4,
common ion effect,samjónahrif,,"effect on equilibrium when a substance with an ion in common with the dissolved species is added to the solution; causes a decrease in the solubility of an ionic species, or a decrease in the ionization of a weak acid or base",,approved,chemistry-society-csv,,other,15,
complete ionic equation,Heildarjónajafna,,"chemical equation in which all dissolved ionic reactants and products, including spectator ions, are explicitly represented by formulas for their dissociated ions","Efnajafna þar sem öll uppleyst jónísk hvarfefni og myndefni, þar með taldar áhorfendajónir, eru sýnd með formúlum fyrir klofnuðu jónirnar sínar",proposed,openstax-mt,,other,4,
complex,flóki,,,,approved,chemistry-society-csv,,other,,
complex bond,flókatengi,,,,approved,chemistry-society-csv,,other,,
complex ion,flókajón,,ion consisting of a central atom surrounding molecules or ions called ligands via coordinate covalent bonds,,approved,chemistry-society-csv,,other,15,
compound,efnasamband,,pure substance that can be decomposed into two or more elements,hreint efni sem hægt er að sundra í tvö eða fleiri frumefni,approved,chemistry-society-csv,,fundamental,1,
compressibility factor (Z),samþjappanleikastuðull (Z),,ratio of the experimentally measured molar volume for a gas to its molar volume as computed from the ideal gas equation,hlutfallið milli mólrúmmáls gass sem mælt er með tilraun og mólrúmmáls þess eins og það er reiknað út frá jöfnu kjörgass,proposed,openstax-mt,,other,9,
concentrated,óþynnt,,qualitative term for a solution containing solute at a relatively high concentration,þáttbundið hugtak yfir lausn sem inniheldur uppleyst efni í tiltölulega háum styrk,proposed,openstax-mt,,other,3,
concentrated acid/base,megn sýra,,,,approved,chemistry-society-csv,,other,,
concentrated base,megn basi,,,,approved,chemistry-society-csv,,other,,
concentration,styrkur,,quantitative measure of the relative amounts of solute and solvent present in a solution,magnbundin mæling á hlutfallslegu magni uppleysts efnis og leysis í lausn,approved,chemistry-society-csv,,solutions,3,
concentration cell,,,galvanic cell comprising half-cells of identical composition but for the concentration of one redox reactant or product,,needs_review,openstax-glossary,,other,17,
